iter	RMSE
0	6.296261638
1	6.223325761
2	6.156787451
3	6.089282671
4	6.020557234
5	5.961733376
6	5.897135381
7	5.83836867
8	5.779995564
9	5.722314279
10	5.663661378
11	5.600976411
12	5.54441035
13	5.492314674
14	5.433219934
15	5.375729645
16	5.329795796
17	5.281582853
18	5.235600361
19	5.188340056
20	5.140070192
21	5.093666099
22	5.049138644
23	5.005421399
24	4.962636105
25	4.918950955
26	4.875882799
27	4.83846019
28	4.799577338
29	4.766172925
30	4.727702102
31	4.692720669
32	4.659325356
33	4.6245595
34	4.585858861
35	4.554183408
36	4.519730945
37	4.488525728
38	4.455434983
39	4.423153674
40	4.393466732
41	4.358814663
42	4.331194669
43	4.30084238
44	4.271687286
45	4.245159667
46	4.218866702
47	4.191427166
48	4.165843465
49	4.137279008
50	4.112562992
51	4.086816901
52	4.064566013
53	4.044451915
54	4.021253198
55	3.997471286
56	3.976765282
57	3.956400124
58	3.932249377
59	3.910033968
60	3.891812864
61	3.873835848
62	3.853228755
63	3.828907867
64	3.810045806
65	3.792409691
66	3.773883668
67	3.759036058
68	3.741452763
69	3.727199115
70	3.71282831
71	3.693004238
72	3.677155529
73	3.660607789
74	3.643211878
75	3.627615106
76	3.611270974
77	3.596090769
78	3.580643362
79	3.567908705
80	3.553194605
81	3.539196782
82	3.527065644
83	3.512691153
84	3.502730255
85	3.488206296
86	3.477337579
87	3.466747873
88	3.457169535
89	3.444903922
90	3.433214842
91	3.422560157
92	3.410717026
93	3.39854286
94	3.389493986
95	3.376933103
96	3.367396979
97	3.357954199
98	3.346649366
99	3.338540604
100	3.32919312
101	3.319310087
102	3.309754062
103	3.300843493
104	3.293946867
105	3.285421049
106	3.276475383
107	3.26987765
108	3.261457378
109	3.252210977
110	3.24223998
111	3.234518135
112	3.225822859
113	3.218744139
114	3.211732795
115	3.202704227
116	3.195703996
117	3.188152632
118	3.181749726
119	3.176272972
120	3.17168497
121	3.165277322
122	3.157850975
123	3.150746216
124	3.144978874
125	3.137153854
126	3.130006524
127	3.123913629
128	3.118492033
129	3.112365614
130	3.106089472
131	3.102746396
132	3.096688592
133	3.089491099
134	3.083253098
135	3.077721363
136	3.072932653
137	3.068631873
138	3.062847123
139	3.057975102
140	3.052039464
141	3.049034944
142	3.04141555
143	3.037301466
144	3.031794224
145	3.026819509
146	3.022504573
147	3.017636789
148	3.015035455
149	3.009225284
150	3.005529002
151	3.001610074
152	2.995432949
153	2.990151299
154	2.986926748
155	2.982020296
156	2.978925319
157	2.974789388
158	2.972882152
159	2.967711376
160	2.962937479
161	2.95767036
162	2.954040852
163	2.95145809
164	2.947438684
165	2.941637766
