iter	Passed	Remaining
0	63	63074
1	64	32209
2	65	21609
3	65	16291
4	67	13400
5	67	11223
6	76	10919
7	83	10395
8	88	9728
9	90	8968
10	94	8522
11	100	8248
12	102	7818
13	108	7649
14	109	7170
15	109	6743
16	110	6370
17	110	6037
18	111	5735
19	111	5462
20	113	5302
21	114	5090
22	115	4890
23	115	4699
24	116	4524
25	116	4369
26	117	4234
27	118	4097
28	118	3974
29	119	3862
30	119	3748
31	120	3660
32	121	3567
33	122	3494
34	123	3406
35	124	3331
36	125	3258
37	125	3183
38	127	3142
39	129	3112
40	133	3116
41	137	3131
42	141	3139
43	141	3084
44	142	3030
45	146	3028
46	146	2975
47	147	2924
48	147	2870
49	148	2823
50	149	2783
51	150	2740
52	151	2700
53	152	2663
54	155	2663
55	156	2645
56	157	2607
57	158	2572
58	161	2570
59	162	2538
60	162	2504
61	168	2544
62	169	2519
63	170	2488
64	171	2462
65	173	2448
66	173	2417
67	174	2385
68	174	2354
69	174	2323
70	175	2295
71	175	2267
72	176	2241
73	177	2216
74	177	2190
75	187	2283
76	188	2258
77	188	2233
78	189	2209
79	190	2185
80	190	2161
81	190	2137
82	191	2115
83	202	2208
84	203	2188
85	203	2165
86	205	2158
87	206	2135
88	207	2119
89	207	2098
90	207	2077
91	208	2056
92	208	2036
93	209	2016
94	209	1997
95	210	1978
96	210	1960
97	211	1942
98	211	1925
99	211	1907
100	213	1897
101	213	1883
102	214	1868
103	217	1876
104	218	1861
105	218	1846
106	220	1840
107	221	1826
108	225	1839
109	226	1833
110	227	1819
111	228	1811
112	229	1798
113	229	1784
114	230	1770
115	230	1756
116	230	1742
117	231	1729
118	231	1716
119	239	1755
120	240	1749
121	242	1748
122	243	1735
123	245	1732
124	251	1757
125	259	1801
126	260	1791
127	261	1780
128	261	1768
129	262	1756
130	263	1745
131	263	1734
132	264	1724
133	264	1711
134	290	1861
135	291	1849
136	291	1836
137	291	1823
138	292	1810
139	292	1798
140	293	1785
141	295	1787
142	298	1789
143	299	1778
144	299	1767
145	300	1756
146	302	1754
147	303	1746
148	304	1740
149	309	1755
150	312	1757
151	315	1761
152	324	1797
153	326	1793
154	326	1782
155	327	1774
156	328	1764
157	329	1753
158	329	1742
159	330	1736
160	332	1730
161	333	1724
162	335	1720
163	335	1710
164	340	1721
165	343	1724
166	345	1722
167	347	1721
168	351	1727
169	352	1719
170	353	1712
171	353	1702
172	354	1693
173	354	1683
174	355	1675
175	356	1667
176	356	1657
177	356	1648
178	357	1641
179	358	1632
180	358	1623
181	359	1613
182	359	1604
183	359	1596
184	360	1587
185	360	1578
186	362	1576
187	363	1571
188	364	1563
189	364	1554
190	376	1593
191	377	1587
192	377	1580
193	383	1595
194	388	1602
195	388	1595
196	389	1587
197	390	1579
198	390	1572
199	391	1565
200	392	1558
201	393	1552
202	393	1545
203	394	1539
204	395	1532
205	395	1524
206	399	1532
207	401	1529
208	402	1522
209	402	1515
210	403	1508
211	403	1501
212	415	1537
213	416	1530
214	417	1522
215	417	1515
216	455	1642
217	455	1635
218	456	1627
219	456	1619
220	457	1611
221	457	1603
222	458	1596
223	458	1588
224	458	1580
225	459	1572
226	459	1565
227	460	1557
228	460	1550
229	460	1542
230	461	1535
231	461	1528
232	462	1520
233	462	1513
234	462	1507
235	469	1519
236	476	1533
237	478	1532
238	484	1541
239	491	1555
240	491	1548
241	493	1544
242	493	1538
243	494	1531
244	494	1525
245	495	1518
246	495	1512
247	508	1541
248	511	1543
249	513	1539
250	513	1532
251	520	1544
252	523	1545
253	524	1539
254	524	1533
255	525	1527
256	526	1520
257	526	1514
258	527	1507
259	527	1501
260	529	1499
261	530	1493
262	530	1486
263	530	1480
264	531	1473
265	531	1467
266	532	1461
267	532	1455
268	534	1451
269	534	1445
270	535	1439
271	535	1433
272	536	1427
273	536	1422
274	543	1432
275	544	1428
276	545	1423
277	546	1419
278	546	1413
279	547	1407
280	547	1401
281	548	1395
282	548	1389
283	548	1383
284	549	1378
285	550	1375
286	551	1369
287	551	1364
288	552	1358
289	552	1353
290	568	1384
291	569	1381
292	570	1377
293	571	1372
294	571	1366
295	576	1370
296	576	1365
297	580	1366
298	580	1361
299	587	1370
300	587	1364
301	588	1359
302	588	1354
303	589	1348
304	589	1343
305	589	1337
306	590	1332
307	599	1346
308	602	1346
309	604	1345
310	606	1344
311	617	1362
312	620	1361
313	620	1356
314	621	1351
315	622	1346
316	622	1342
317	623	1336
318	623	1331
319	624	1326
320	624	1321
321	625	1316
322	629	1319
323	636	1327
324	638	1326
325	639	1321
326	639	1316
327	639	1310
328	640	1305
329	640	1300
330	640	1295
331	641	1290
332	641	1285
333	642	1280
334	642	1275
335	643	1271
336	643	1266
337	644	1261
338	646	1259
339	655	1272
340	655	1267
341	656	1263
342	657	1258
343	657	1253
344	657	1248
345	658	1244
346	658	1239
347	659	1234
348	659	1230
349	660	1225
350	672	1244
351	673	1239
352	673	1234
353	675	1232
354	675	1227
355	675	1222
356	676	1218
357	676	1213
358	677	1208
359	677	1204
360	677	1200
361	678	1195
362	684	1200
363	685	1197
364	693	1207
365	694	1202
366	694	1198
367	695	1194
368	696	1190
369	697	1187
370	698	1184
371	699	1180
372	709	1192
373	710	1188
374	710	1184
375	712	1181
376	714	1180
377	715	1177
378	717	1175
379	717	1171
380	718	1166
381	720	1165
382	722	1163
383	722	1159
384	723	1155
385	726	1155
386	726	1151
387	727	1146
388	737	1157
389	737	1154
390	738	1150
391	739	1146
392	739	1142
393	739	1138
394	740	1134
395	740	1130
396	743	1128
397	757	1146
398	759	1143
399	759	1139
400	761	1137
401	776	1155
402	777	1151
403	777	1147
404	778	1143
405	778	1139
406	779	1135
407	779	1131
408	780	1127
409	780	1123
410	790	1132
411	791	1129
412	792	1125
413	792	1121
414	793	1118
415	795	1117
416	797	1114
417	797	1110
418	798	1106
419	798	1103
420	799	1099
421	799	1095
422	801	1093
423	802	1090
424	803	1086
425	805	1084
426	811	1088
427	811	1085
428	822	1094
429	825	1093
430	825	1090
431	826	1086
432	826	1082
433	841	1097
434	846	1099
435	847	1095
436	854	1101
437	855	1097
438	855	1093
439	856	1089
440	856	1086
441	861	1087
442	862	1083
443	862	1080
444	862	1076
445	863	1072
446	863	1068
447	864	1064
448	864	1060
449	864	1056
450	874	1064
451	874	1060
452	875	1056
453	875	1052
454	876	1049
455	888	1060
456	889	1056
457	892	1056
458	894	1054
459	895	1050
460	895	1047
461	896	1043
462	896	1040
463	897	1036
464	897	1032
465	898	1029
466	906	1034
467	906	1030
468	907	1027
469	908	1024
470	908	1020
471	909	1017
472	910	1014
473	914	1015
474	915	1012
475	916	1008
476	932	1022
477	933	1019
478	933	1015
479	937	1015
480	938	1012
481	938	1008
482	939	1005
483	950	1013
484	951	1010
485	954	1009
486	955	1006
487	957	1004
488	965	1009
489	967	1006
490	967	1003
491	968	999
492	968	996
493	969	993
494	969	989
495	970	985
496	970	982
497	971	979
498	971	975
499	972	972
500	985	981
501	986	978
502	987	975
503	987	972
504	988	968
505	988	965
506	988	961
507	989	958
508	989	954
509	990	951
510	990	947
511	990	944
512	991	941
513	991	937
514	992	934
515	992	931
516	993	928
517	1003	934
518	1004	930
519	1004	927
520	1005	924
521	1006	921
522	1006	918
523	1007	914
524	1008	912
525	1009	909
526	1009	906
527	1014	906
528	1018	907
529	1019	904
530	1020	900
531	1020	897
532	1020	894
533	1021	891
534	1021	887
535	1024	886
536	1027	885
537	1027	882
538	1028	879
539	1029	877
540	1036	879
541	1037	876
542	1038	873
543	1038	870
544	1041	869
545	1041	866
546	1046	866
547	1050	866
548	1051	863
549	1052	860
550	1052	857
551	1053	854
552	1053	851
553	1054	848
554	1054	845
555	1082	864
556	1084	862
557	1084	859
558	1085	856
559	1087	854
560	1088	851
561	1088	848
562	1089	845
563	1089	842
564	1090	839
565	1091	837
566	1095	836
567	1096	834
568	1100	833
569	1102	832
570	1104	829
571	1109	829
572	1109	826
573	1110	823
574	1110	820
575	1110	817
576	1111	814
577	1111	811
578	1111	808
579	1112	805
580	1117	805
581	1118	803
582	1119	800
583	1120	798
584	1121	795
585	1121	792
586	1133	797
587	1133	794
588	1134	791
589	1134	788
590	1134	785
591	1135	782
592	1136	779
593	1136	777
594	1137	774
595	1141	773
596	1145	773
597	1146	770
598	1146	767
599	1147	764
600	1147	761
601	1160	767
602	1161	764
603	1161	761
604	1162	759
605	1165	757
606	1165	754
607	1166	751
608	1166	749
609	1167	746
610	1169	744
611	1170	741
612	1172	740
613	1173	737
614	1180	739
615	1181	736
616	1182	733
617	1184	732
618	1186	730
619	1186	727
620	1187	724
621	1197	727
622	1198	725
623	1199	722
624	1199	719
625	1199	716
